total_net_assets,fund_year3_expense_projection,fund_year5_expense_projection,fund_year10_expense_projection,morningstar_return_rating,load_adj_return_3years,load_adj_return_5years,load_adj_return_10years,sustainability_score,sustainability_rank,esg_score
8761323520.0,313.0,542.0,1201.0,3.0,0.0994,0.103,0.1158,24.68,55.0,24.68
217266464.0,327.0,570.0,1267.0,3.0,0.0971,0.1178,0.1081,26.28,84.0,26.28
945077632.0,958.0,1255.0,2095.0,3.0,0.0987,0.0962,0.0772,23.14,51.0,23.14
4899558400.0,274.0,477.0,1061.0,2.0,0.1503,0.1838,0.1221,25.17,65.0,25.17
5773163008.0,1023.0,1347.0,2261.0,5.0,0.1266,0.1519,0.1151,25.25,10.0,25.25
9859657728.0,188.0,328.0,737.0,3.0,0.1086,0.1372,0.114,26.27,96.0,26.27
9859657728.0,166.0,290.0,652.0,3.0,0.1094,0.138,0.1151,26.27,96.0,26.27
4754572288.0,623.0,1072.0,2119.0,3.0,0.2173,0.211,0.1508,20.26,17.0,20.26
9859657728.0,346.0,600.0,1328.0,3.0,0.103,0.1314,0.1084,26.27,96.0,26.27
9859657728.0,802.0,989.0,1529.0,3.0,0.0852,0.1216,0.1049,26.27,96.0,26.27
9859657728.0,476.0,823.0,1801.0,2.0,0.0978,0.1261,0.103,26.27,96.0,26.27
2457772032.0,566.0,975.0,2116.0,2.0,0.1043,0.0916,0.094,24.25,70.0,24.25
848319040.0,966.0,1273.0,2141.0,4.0,0.1159,0.1171,0.0901,23.1,45.0,23.1
64842776.0,243.0,423.0,943.0,3.0,0.0551,0.0838,0.0425,22.38,57.0,22.38
5773163008.0,335.0,580.0,1282.0,5.0,0.1545,0.1708,0.1268,25.25,10.0,25.25
64842776.0,509.0,877.0,1909.0,2.0,0.0463,0.0747,0.0351,22.38,57.0,22.38
64842776.0,291.0,504.0,1120.0,3.0,0.0534,0.082,0.0424,22.38,57.0,22.38
41050280.0,475.0,844.0,1883.0,3.0,0.1694,0.181,0.1167,26.79,28.0,26.79
41050280.0,416.0,744.0,1673.0,3.0,0.1715,0.1832,0.1192,26.79,28.0,26.79
130075688.0,1042.0,1387.0,2358.0,3.0,0.0987,0.1171,0.0677,22.67,64.0,22.67
501597120.0,634.0,1088.0,2344.0,2.0,0.1838,0.1848,0.1385,20.97,41.0,20.97
501597120.0,261.0,455.0,1013.0,3.0,0.1979,0.1991,0.1522,20.97,41.0,20.97
501597120.0,954.0,1232.0,2019.0,2.0,0.1693,0.1796,0.1403,20.97,41.0,20.97
501597120.0,245.0,427.0,954.0,2.0,0.1985,0.1996,0.1524,20.97,41.0,20.97
2746521088.0,557.0,959.0,2084.0,3.0,0.1255,0.1187,0.1,23.28,41.0,23.28
219545328.0,765.0,1015.0,1729.0,3.0,0.1453,0.1538,0.135,21.23,52.0,21.23
219545328.0,587.0,1010.0,2190.0,3.0,0.1532,0.1552,0.1316,21.23,52.0,21.23
501597120.0,261.0,455.0,1013.0,2.0,0.198,0.1991,0.1522,20.97,41.0,20.97
219545328.0,258.0,449.0,1001.0,4.0,0.1651,0.1672,0.1433,21.23,52.0,21.23
219545328.0,378.0,659.0,1461.0,3.0,0.1614,0.1635,0.1399,21.23,52.0,21.23
219545328.0,464.0,809.0,1782.0,3.0,0.1585,0.1606,0.137,21.23,52.0,21.23
219545328.0,277.0,481.0,1072.0,4.0,0.1648,0.1668,0.143,21.23,52.0,21.23
137373296.0,315.0,584.0,1352.0,2.0,0.1924,0.1805,0.1234,22.68,18.0,22.68
895140672.0,233.0,405.0,905.0,2.0,0.087,0.1031,0.093,23.09,36.0,23.09
53959648.0,431.0,745.0,1635.0,2.0,0.0524,0.0947,0.0823,28.14,56.0,28.14
771913856.0,936.0,1700.0,3709.0,5.0,0.1718,0.1548,0.0888,25.57,59.0,25.57
771913856.0,628.0,1182.0,2693.0,5.0,0.1837,0.167,0.1,25.57,59.0,25.57
501597120.0,480.0,829.0,1810.0,2.0,0.1897,0.1908,0.1442,20.97,41.0,20.97
501597120.0,324.0,563.0,1247.0,3.0,0.1956,0.1967,0.1499,20.97,41.0,20.97
130075688.0,418.0,730.0,1615.0,3.0,0.1234,0.1338,0.0767,22.67,64.0,22.67
6650605.0,518.0,965.0,2204.0,3.0,0.1222,0.1369,0.1067,26.23,98.0,26.23
33576328.0,775.0,1432.0,3196.0,4.0,0.0957,0.1358,0.0802,24.69,51.0,24.69
33576328.0,699.0,1308.0,2954.0,5.0,0.0985,0.1386,0.0829,24.69,51.0,24.69
55423252.0,288.0,613.0,1534.0,4.0,0.1195,0.1011,0.0674,24.36,83.0,24.36
1156378752.0,962.0,1263.0,2115.0,3.0,0.0408,0.0672,0.0536,21.49,66.0,21.49
1156378752.0,666.0,1143.0,2270.0,2.0,0.0526,0.0714,0.0516,21.49,66.0,21.49
136474688.0,625.0,1088.0,2372.0,3.0,0.0642,0.0508,0.0261,27.61,57.0,27.61
3491247872.0,291.0,504.0,1120.0,4.0,0.1182,0.1409,0.0614,25.07,29.0,25.07
136474688.0,548.0,960.0,2109.0,3.0,0.0671,0.0536,0.0287,27.61,57.0,27.61
1156378752.0,513.0,886.0,1932.0,3.0,0.0579,0.0768,0.0569,21.49,66.0,21.49
1156378752.0,358.0,621.0,1374.0,3.0,0.0633,0.0821,0.0622,21.49,66.0,21.49
127467664.0,331.0,574.0,1271.0,4.0,0.081,0.0685,0.0737,16.64,69.0,16.64
124498304.0,850.0,1465.0,3122.0,4.0,0.0501,0.0448,0.0183,27.61,57.0,27.61
196361000000.0,268.0,466.0,1037.0,3.0,0.1335,0.1407,0.0793,24.1,88.0,24.1
3491247872.0,338.0,585.0,1294.0,3.0,0.1166,0.1389,0.0593,25.07,29.0,25.07
1156378752.0,321.0,557.0,1235.0,2.0,0.0645,0.0827,0.0612,21.49,66.0,21.49
12177510400.0,3.0,6.0,13.0,3.0,0.1084,0.1002,0.105,25.35,88.0,25.35
12177510400.0,231.0,401.0,895.0,2.0,0.1045,0.0984,0.104,25.35,88.0,25.35
12177510400.0,183.0,319.0,714.0,2.0,0.1063,0.0998,0.1048,25.35,88.0,25.35
16063353.0,520.0,959.0,2182.0,4.0,0.2153,0.1647,0.0902,22.73,84.0,22.73
1218569856.0,443.0,766.0,1680.0,3.0,0.1024,0.1211,0.0388,26.3,55.0,26.3
3491247872.0,1025.0,1352.0,2272.0,4.0,0.0899,0.1207,0.0496,25.07,29.0,25.07
280644640.0,315.0,584.0,1354.0,3.0,0.1188,0.1289,0.0469,26.2,52.0,26.2
280644640.0,352.0,635.0,1441.0,3.0,0.1172,0.1273,0.0456,26.2,52.0,26.2
3491247872.0,555.0,955.0,2071.0,4.0,0.1085,0.1312,0.0531,25.07,29.0,25.07
5557726720.0,393.0,681.0,1500.0,4.0,0.1603,0.1236,0.0556,24.49,19.0,24.49
1218569856.0,393.0,681.0,1500.0,3.0,0.1042,0.1225,0.0394,26.3,55.0,26.3
1218569856.0,393.0,681.0,1500.0,3.0,0.1043,0.123,0.0396,26.3,55.0,26.3
196361000000.0,499.0,860.0,1674.0,3.0,0.1253,0.1323,0.0713,24.1,88.0,24.1
196361000000.0,183.0,318.0,714.0,3.0,0.1367,0.1438,0.0822,24.1,88.0,24.1
196361000000.0,822.0,1004.0,1530.0,3.0,0.1116,0.1276,0.0732,24.1,88.0,24.1
12177510400.0,183.0,319.0,714.0,2.0,0.1063,0.1004,0.1062,25.35,88.0,25.35
12177510400.0,450.0,777.0,1701.0,2.0,0.0964,0.091,0.0976,25.35,88.0,25.35
2658885632.0,527.0,908.0,1974.0,2.0,0.1426,0.1481,0.1209,21.66,31.0,21.66
2658885632.0,151.0,264.0,592.0,2.0,0.1565,0.1616,0.133,21.66,31.0,21.66
12177510400.0,604.0,1038.0,2240.0,2.0,0.0914,0.0855,0.0921,25.35,88.0,25.35
3491247872.0,291.0,504.0,1120.0,3.0,0.1182,0.1402,0.0599,25.07,29.0,25.07
2658885632.0,372.0,644.0,1420.0,2.0,0.1483,0.1538,0.1265,21.66,31.0,21.66
25797724.0,434.0,789.0,1789.0,2.0,0.0859,0.0916,0.0752,19.91,3.0,19.91
50104832.0,504.0,910.0,2047.0,4.0,0.1195,0.1573,0.124,22.17,18.0,22.17
50104832.0,405.0,736.0,1672.0,5.0,0.1221,0.1599,0.1267,22.17,18.0,22.17
3555852544.0,887.0,1117.0,1773.0,4.0,0.1681,0.1708,0.1372,19.77,4.0,19.77
3555852544.0,564.0,970.0,1906.0,3.0,0.1825,0.1758,0.1354,19.77,4.0,19.77
25797724.0,740.0,1303.0,2836.0,1.0,0.075,0.0807,0.0645,19.91,3.0,19.91
3555852544.0,189.0,330.0,738.0,4.0,0.1968,0.1891,0.146,19.77,4.0,19.77
3555852544.0,253.0,439.0,978.0,4.0,0.1943,0.1876,0.1468,19.77,4.0,19.77
3555852544.0,410.0,708.0,1556.0,4.0,0.1884,0.1817,0.1411,19.77,4.0,19.77
3555852544.0,142.0,247.0,555.0,4.0,0.1967,0.1879,0.1454,19.77,4.0,19.77
3555852544.0,189.0,330.0,738.0,5.0,0.1968,0.19,0.1491,19.77,4.0,19.77
1428638080.0,200.0,350.0,786.0,4.0,0.2571,0.2374,0.176,21.22,52.0,21.22
81703568.0,967.0,1284.0,2183.0,3.0,0.1578,0.1572,0.1135,22.46,59.0,22.46
200913408.0,943.0,1303.0,2197.0,3.0,0.1407,0.1329,0.0781,22.16,50.0,22.16
32985652.0,410.0,839.0,2032.0,2.0,0.1545,0.1541,0.0912,20.97,24.0,20.97
129498000000.0,434.0,750.0,1438.0,2.0,0.144,0.1496,0.1239,23.39,85.0,23.39
129498000000.0,208.0,362.0,810.0,3.0,0.1521,0.1578,0.1321,23.39,85.0,23.39
156255680.0,933.0,1212.0,2007.0,3.0,0.074,0.0798,0.0234,23.09,74.0,23.09
156255680.0,619.0,1063.0,2297.0,2.0,0.0866,0.084,0.0216,23.09,74.0,23.09
